,city,latitude,date,max temp,humidity,cloudiness,wind speed
211,chiang klang,19.29,01-12-2019 19:00:00,292.15,100.0,90.0,1.0
212,magalia,39.81,01-12-2019 18:54:00,288.15,54.0,20.0,4.1
213,tuatapere,-46.13,01-12-2019 19:17:30,287.797,91.0,32.0,4.83
214,san patricio,-26.98,01-12-2019 19:20:42,298.097,95.0,24.0,2.01
215,chuy,-33.69,01-12-2019 19:20:43,293.647,92.0,92.0,5.63
216,vila franca do campo,37.72,01-12-2019 18:30:00,289.15,72.0,75.0,6.7
218,new philadelphia,40.49,01-12-2019 18:57:00,271.65,88.0,90.0,1.5
219,peniche,39.36,01-12-2019 18:30:00,281.15,70.0,0.0,2.1
220,katherine,-14.47,01-12-2019 19:02:00,300.15,83.0,90.0,3.1
222,kapaa,22.08,01-12-2019 18:56:00,299.85,68.0,75.0,4.1
223,colimes,-1.55,01-12-2019 19:00:00,300.15,78.0,75.0,1.5
224,pedernales,0.07,01-12-2019 19:20:48,297.197,77.0,92.0,1.61
225,camacha,33.08,01-12-2019 18:30:00,290.15,63.0,75.0,8.2
226,saint-augustin,44.83,01-12-2019 18:30:00,282.15,93.0,90.0,4.6
227,terre haute,39.47,01-12-2019 18:55:00,274.25,95.0,90.0,4.6
228,avon park,27.6,01-12-2019 18:55:00,292.35,70.0,40.0,2.6
229,jackson,35.61,01-12-2019 19:15:00,282.15,96.0,90.0,2.1
231,acapulco,16.86,01-12-2019 18:48:00,300.15,78.0,40.0,3.6
232,birao,10.3,01-12-2019 19:20:50,292.047,52.0,0.0,2.78
233,chokurdakh,70.62,01-12-2019 19:20:50,241.972,73.0,88.0,3.73
234,labuhan,-2.54,01-12-2019 19:20:50,297.147,98.0,92.0,1.21
235,westport,53.8,01-12-2019 19:08:47,282.222,96.0,92.0,8.41
237,cockburn town,21.46,01-12-2019 19:20:50,297.497,100.0,88.0,8.63
238,asyut,27.18,01-12-2019 18:00:00,281.15,70.0,0.0,2.6
240,sitka,37.17,01-12-2019 19:20:51,273.547,86.0,68.0,5.83
242,sosnovo-ozerskoye,52.53,01-12-2019 19:20:51,244.122,52.0,20.0,1.13
243,kyren,51.68,01-12-2019 19:20:52,247.647,71.0,0.0,1.46
244,atuona,-9.8,01-12-2019 19:20:52,300.222,100.0,48.0,6.83
245,santa rosa,-36.62,01-12-2019 19:20:53,290.997,99.0,76.0,2.86
246,yulara,-25.24,01-12-2019 19:00:00,313.15,10.0,0.0,6.2
247,londonderry,42.87,01-12-2019 18:56:00,266.45,44.0,1.0,4.1
248,somotillo,13.04,01-12-2019 19:20:54,301.947,44.0,44.0,3.86
249,pacific grove,36.62,01-12-2019 19:00:00,288.15,71.0,40.0,2.6
