,city,latitude,date,max temp,humidity,cloudiness,wind speed
152,ust-tsilma,65.44,01-12-2019,17.1,73.0,88.0,8.41
153,hanyang,32.14,01-12-2019,34.92,59.0,12.0,3.04
154,chokurdakh,70.62,01-12-2019,-24.22,37.0,80.0,8.23
155,galveston,40.58,01-12-2019,30.56,92.0,90.0,18.34
156,great yarmouth,52.61,01-12-2019,51.8,81.0,100.0,19.46
157,bredasdorp,-34.53,01-12-2019,62.6,67.0,24.0,9.17
158,flin flon,54.77,01-12-2019,14.04,83.0,64.0,5.32
159,palmer,-34.85,01-12-2019,87.8,8.0,0.0,16.11
161,jasper,33.83,01-12-2019,50.0,100.0,24.0,5.61
162,ghatanji,20.14,01-12-2019,68.13,74.0,88.0,6.29
163,mahebourg,-20.41,01-12-2019,80.6,78.0,40.0,11.41
164,sao joao da barra,-21.64,01-12-2019,79.38,96.0,48.0,14.67
165,la rochelle,46.16,01-12-2019,48.2,100.0,90.0,11.41
166,quatre cocos,-20.21,01-12-2019,80.6,78.0,40.0,11.41
167,santa rosalia,38.07,01-12-2019,53.6,66.0,20.0,16.11
168,yarkovo,54.81,01-12-2019,-2.21,84.0,0.0,11.18
170,hasaki,35.73,01-12-2019,48.2,45.0,20.0,14.99
171,saint-pierre,48.95,01-12-2019,44.6,100.0,92.0,13.87
172,guerrero negro,27.97,01-12-2019,57.42,95.0,64.0,4.05
173,avera,33.19,01-12-2019,51.8,66.0,90.0,5.82
174,batemans bay,-35.71,01-12-2019,71.46,86.0,76.0,4.72
175,petropavlovsk-kamchatskiy,53.05,01-12-2019,30.2,50.0,76.0,6.71
176,los llanos de aridane,28.66,01-12-2019,59.0,72.0,0.0,8.05
177,dingle,11.0,01-12-2019,81.99,72.0,48.0,14.05
178,harrogate,53.99,01-12-2019,51.8,76.0,36.0,16.11
180,girua,-28.03,01-12-2019,70.83,94.0,8.0,7.0
181,vestmannaeyjar,63.44,01-12-2019,34.92,100.0,36.0,10.92
182,teahupoo,-17.83,01-12-2019,78.8,83.0,90.0,9.17
183,tezu,27.93,01-12-2019,57.15,44.0,0.0,1.59
184,chimbote,-9.08,01-12-2019,67.41,98.0,0.0,8.57
185,castro,-42.48,01-12-2019,42.8,93.0,0.0,5.82
186,bethel,60.79,01-12-2019,-4.01,82.0,40.0,17.22
188,lerwick,60.15,01-12-2019,48.2,93.0,92.0,25.28
190,saint-philippe,45.36,01-12-2019,5.0,87.0,1.0,2.98
192,marystown,47.17,01-12-2019,25.65,100.0,44.0,17.29
193,abilene,32.45,01-12-2019,39.92,79.0,1.0,4.7
194,faanui,-16.48,01-12-2019,82.44,100.0,92.0,22.32
196,mangai,-4.07,01-12-2019,73.62,92.0,56.0,2.98
197,moissala,8.34,01-12-2019,63.9,59.0,8.0,2.86
198,farafangana,-22.82,01-12-2019,76.68,100.0,80.0,5.84
200,victoria,5.28,01-12-2019,87.8,74.0,75.0,4.7
201,guymon,36.68,01-12-2019,32.0,85.0,40.0,6.55
202,vao,59.1,01-12-2019,14.85,86.0,12.0,4.5
203,jining,35.41,01-12-2019,42.84,69.0,0.0,4.54
205,gat,14.69,01-12-2019,68.0,88.0,0.0,13.87
207,vila franca do campo,37.72,01-12-2019,59.0,77.0,75.0,9.17
208,ugoofaaru,5.67,01-12-2019,81.54,100.0,0.0,9.35
209,oriximina,-1.77,01-12-2019,77.49,88.0,68.0,2.59
211,leningradskiy,69.38,01-12-2019,-17.65,100.0,20.0,8.63
212,tazovskiy,67.47,01-12-2019,-5.5,70.0,88.0,20.94
213,portland,45.52,01-12-2019,46.04,57.0,75.0,13.87
214,pevek,69.7,01-12-2019,-23.68,71.0,0.0,4.72
215,paragominas,-3.0,01-12-2019,71.91,96.0,92.0,4.99
216,biga,40.23,01-12-2019,39.2,80.0,75.0,23.04
218,moree,-29.46,01-12-2019,96.8,20.0,0.0,9.17
219,cairns,-16.92,01-12-2019,86.0,62.0,40.0,14.99
220,sao paulo de olivenca,-3.38,01-12-2019,76.32,95.0,36.0,1.52
221,atoyac,18.92,01-12-2019,73.4,88.0,90.0,3.27
222,kulhudhuffushi,6.62,01-12-2019,81.72,100.0,0.0,7.9
223,casino,-28.86,01-12-2019,89.6,35.0,20.0,11.41
224,gus-zheleznyy,55.05,01-12-2019,12.78,88.0,88.0,11.54
225,maxixe,-23.86,01-12-2019,80.46,98.0,24.0,5.39
226,klaksvik,62.23,01-12-2019,41.0,100.0,92.0,13.87
227,saint-augustin,44.83,01-12-2019,50.0,100.0,90.0,9.17
228,sinnamary,5.38,01-12-2019,78.57,95.0,56.0,10.36
229,atyrau,47.1,01-12-2019,32.0,97.0,90.0,3.09
230,mar del plata,-46.43,01-12-2019,55.98,48.0,0.0,5.99
231,cabo san lucas,22.89,01-12-2019,68.0,82.0,20.0,2.37
232,bereda,43.27,01-12-2019,48.2,76.0,0.0,4.7
233,lata,30.78,01-12-2019,32.04,100.0,92.0,1.59
234,cabatuan,16.95,01-12-2019,72.99,98.0,64.0,3.38
235,halifax,44.65,01-12-2019,12.2,85.0,90.0,10.29
237,dubbo,-32.25,01-12-2019,100.4,18.0,0.0,6.93
238,port macquarie,-31.43,01-12-2019,87.8,43.0,0.0,12.75
239,ulladulla,-35.36,01-12-2019,72.36,92.0,76.0,11.03
240,punta alta,-27.46,01-12-2019,75.2,88.0,90.0,4.7
241,nantucket,41.28,01-12-2019,26.06,37.0,1.0,10.29
242,thabazimbi,-24.59,01-12-2019,63.27,93.0,0.0,1.59
243,kahului,20.89,01-12-2019,80.06,62.0,75.0,12.75
244,lincoln,40.8,01-12-2019,32.36,87.0,90.0,3.36
245,sobolevo,54.43,01-12-2019,26.28,91.0,88.0,8.34
246,zyryanka,65.73,01-12-2019,-37.99,0.0,8.0,2.82
247,plettenberg bay,-34.05,01-12-2019,64.35,100.0,0.0,5.73
248,almaznyy,48.03,01-12-2019,30.2,92.0,75.0,4.47
249,kultuk,51.73,01-12-2019,2.34,61.0,64.0,4.99
250,mitoc,47.39,01-12-2019,28.4,74.0,90.0,8.05
251,tura,25.52,01-12-2019,61.02,77.0,0.0,3.49
252,soyo,-6.13,01-12-2019,75.33,97.0,48.0,3.38
254,posse,-14.08,01-12-2019,70.74,78.0,20.0,5.55
255,littau,47.05,01-12-2019,41.0,80.0,90.0,8.05
256,vanimo,-2.67,01-12-2019,82.8,100.0,48.0,17.13
258,okha,53.59,01-12-2019,11.79,83.0,56.0,14.79
259,constitucion,23.99,01-12-2019,55.4,43.0,5.0,9.17
260,saint anthony,43.97,01-12-2019,10.04,83.0,1.0,6.93
